DateTime,KWH/D
2013-08-14,4.737
2013-08-15,4.697
2013-08-16,5.405
2013-08-17,4.479
2013-08-18,4.761
2013-08-19,4.956
2013-08-20,4.61
2013-08-21,4.7410000000000005
2013-08-22,5.366
2013-08-23,4.372
2013-08-24,4.297
2013-08-25,5.5120000000000005
2013-08-26,5.4190000000000005
2013-08-27,5.088
2013-08-28,5.786
2013-08-29,5.509
2013-08-30,5.595
2013-08-31,5.224
2013-09-01,4.8149999999999995
2013-09-02,4.617
2013-09-03,5.963
2013-09-04,6.591
2013-09-05,5.335
2013-09-06,4.481
2013-09-07,5.965
2013-09-08,2.54
2013-09-09,1.942
2013-09-10,1.903
2013-09-11,2.003
2013-09-12,1.956
2013-09-13,1.945
2013-09-14,3.5909999999999997
2013-09-15,6.5040000000000004
2013-09-16,4.986
2013-09-17,5.709
2013-09-18,5.24
2013-09-19,4.928
2013-09-20,4.508
2013-09-21,4.575
2013-09-22,4.48
2013-09-23,4.816
2013-09-24,5.301
2013-09-25,5.495
2013-09-26,4.367
2013-09-27,5.704
2013-09-28,5.218
2013-09-29,5.278
2013-09-30,4.981
2013-10-01,4.769
2013-10-02,4.782
2013-10-03,4.281
2013-10-04,5.405
2013-10-05,5.401
2013-10-06,5.368
2013-10-07,5.025
2013-10-08,5.136
2013-10-09,4.922
2013-10-10,4.714
2013-10-11,6.069
2013-10-12,5.386
2013-10-13,5.74
2013-10-14,6.167
2013-10-15,6.182
2013-10-16,5.822
2013-10-17,5.534
2013-10-18,4.665
2013-10-19,6.156
2013-10-20,5.678
2013-10-21,6.063
2013-10-22,5.737
2013-10-23,5.327
2013-10-24,6.248
2013-10-25,5.945
2013-10-26,5.49
2013-10-27,5.784
2013-10-28,5.873
2013-10-29,5.9719999999999995
2013-10-30,5.806
2013-10-31,6.34
2013-11-01,5.957
2013-11-02,5.673
2013-11-03,6.073
2013-11-04,6.632
2013-11-05,6.393
2013-11-06,5.795
2013-11-07,7.453
2013-11-08,6.097
2013-11-09,6.24
2013-11-10,6.993
2013-11-11,4.2
2013-11-12,3.04
2013-11-13,2.899
2013-11-14,2.882
2013-11-15,7.364
2013-11-16,5.904
2013-11-17,6.6129999999999995
2013-11-18,6.847
2013-11-19,6.587
2013-11-20,3.571
2013-11-21,4.5
2013-11-22,5.748
2013-11-23,5.958
2013-11-24,6.316
2013-11-25,3.622
2013-11-26,2.924
2013-11-27,3.041
2013-11-28,3.024
2013-11-29,5.691
2013-11-30,5.873
2013-12-01,6.265
2013-12-02,6.295
2013-12-03,5.516
2013-12-04,5.914
2013-12-05,6.684
2013-12-06,5.652
2013-12-07,6.096
2013-12-08,4.583
2013-12-09,6.481
2013-12-10,5.414
2013-12-11,6.202
2013-12-12,6.65
2013-12-13,5.977
2013-12-14,6.415
2013-12-15,6.278
2013-12-16,6.56
2013-12-17,5.452
2013-12-18,6.92
2013-12-19,5.526
2013-12-20,6.639
2013-12-21,7.395
2013-12-22,6.793
2013-12-23,3.662
2013-12-24,2.97
2013-12-25,2.946
2013-12-26,2.887
2013-12-27,4.378
2013-12-28,7.004
2013-12-29,6.46
2013-12-30,6.895
2013-12-31,5.198
2014-01-01,7.49
2014-01-02,7.633
2014-01-03,6.428
2014-01-04,6.2700000000000005
2014-01-05,6.758
2014-01-06,7.326
2014-01-07,6.261
2014-01-08,7.294
2014-01-09,6.94
2014-01-10,7.866
2014-01-11,8.373
2014-01-12,6.624
2014-01-13,6.558
2014-01-14,7.015
2014-01-15,6.544
2014-01-16,6.48
2014-01-17,6.517
2014-01-18,6.879
2014-01-19,5.537
2014-01-20,6.449
2014-01-21,6.352
2014-01-22,6.315
2014-01-23,5.879
2014-01-24,6.016
2014-01-25,6.461
2014-01-26,6.534
2014-01-27,5.817
2014-01-28,6.842
2014-01-29,7.03
2014-01-30,5.761
2014-01-31,6.319
2014-02-01,6.035
2014-02-02,5.888
2014-02-03,6.522
2014-02-04,6.457
2014-02-05,6.326
2014-02-06,6.452
2014-02-07,6.164
2014-02-08,5.931
2014-02-09,6.915
2014-02-10,6.957
2014-02-11,6.258
2014-02-12,6.949
2014-02-13,5.594
2014-02-14,7.417
2014-02-15,6.11
2014-02-16,5.589
2014-02-17,5.854
2014-02-18,6.852
2014-02-19,6.416
2014-02-20,6.155
2014-02-21,5.566
2014-02-22,5.323
2014-02-23,5.92
2014-02-24,6.561
2014-02-25,6.264
2014-02-26,6.418
2014-02-27,6.438
2014-02-28,0.064
